date,time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,snow_cm,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv
2025-02-14,1739520000,2025-02-14 00:00,12.1,53.7,0,"{'text': 'Overcast ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}",1.1,1.8,81,E,1016.0,30.0,0.0,0.0,0.0,96,100,10.7,51.2,10.7,51.2,12.1,53.7,11.7,53.0,0,0,0,0,2.0,1.0,1.5,2.3,0.0
2025-02-14,1739523600,2025-02-14 01:00,11.8,53.2,0,"{'text': 'Overcast ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}",1.6,2.5,255,WSW,1017.0,30.03,0.0,0.0,0.0,96,100,10.6,51.1,10.6,51.1,11.8,53.2,11.3,52.3,0,0,0,0,10.0,6.0,2.0,3.2,0.0
2025-02-14,1739527200,2025-02-14 02:00,11.6,53.0,0,"{'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/night/248.png', 'code': 1135}",1.8,2.9,206,SSW,1017.0,30.03,0.0,0.0,0.0,97,100,10.5,50.9,10.5,50.9,11.6,53.0,11.1,51.9,0,0,0,0,10.0,6.0,2.3,3.8,0.0
2025-02-14,1739530800,2025-02-14 03:00,11.5,52.7,0,"{'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/night/143.png', 'code': 1030}",1.3,2.2,180,S,1017.0,30.02,0.0,0.0,0.0,97,100,10.3,50.5,10.3,50.5,11.5,52.7,11.0,51.9,0,0,0,0,10.0,6.0,1.8,2.8,0.0
2025-02-14,1739534400,2025-02-14 04:00,11.2,52.1,0,"{'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/night/248.png', 'code': 1135}",1.8,2.9,178,S,1017.0,30.03,0.0,0.0,0.0,97,100,9.8,49.7,9.8,49.7,11.2,52.1,11.0,51.8,0,0,0,0,10.0,6.0,2.6,4.1,0.0
2025-02-14,1739538000,2025-02-14 05:00,10.9,51.6,0,"{'text': 'Light rain shower', 'icon': '//cdn.weatherapi.com/weather/64x64/night/353.png', 'code': 1240}",1.1,1.8,218,SW,1018.0,30.06,1.17,0.05,0.0,97,100,9.4,49.0,9.4,49.0,10.9,51.6,10.3,50.5,1,100,0,0,10.0,6.0,1.5,2.5,0.0
2025-02-14,1739541600,2025-02-14 06:00,10.7,51.3,0,"{'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/night/143.png', 'code': 1030}",2.2,3.6,161,SSE,1017.0,30.04,0.0,0.0,0.0,96,100,9.1,48.5,9.1,48.5,10.7,51.3,10.0,50.1,0,0,0,0,2.0,1.0,3.4,5.4,0.0
2025-02-14,1739545200,2025-02-14 07:00,11.7,53.1,1,"{'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/day/143.png', 'code': 1030}",2.7,4.3,182,S,1018.0,30.07,0.0,0.0,0.0,89,100,9.2,48.6,9.2,48.6,10.6,51.0,10.0,50.1,0,0,0,0,6.4,3.0,4.2,6.7,0.1
2025-02-14,1739548800,2025-02-14 08:00,10.6,51.1,1,"{'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/day/143.png', 'code': 1030}",2.5,4.0,185,S,1019.0,30.09,0.0,0.0,0.0,97,100,8.9,48.1,8.9,48.1,10.6,51.1,9.9,49.8,0,0,0,0,10.0,6.0,3.6,5.8,0.6
2025-02-14,1739552400,2025-02-14 09:00,10.6,51.1,1,"{'text': 'Overcast ', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",3.6,5.8,191,SSW,1019.0,30.09,0.0,0.0,0.0,96,100,8.9,48.1,8.9,48.1,10.6,51.1,10.0,50.0,0,0,0,0,10.0,6.0,4.5,7.3,1.4
2025-02-14,1739556000,2025-02-14 10:00,10.7,51.3,1,"{'text': 'Overcast ', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",6.7,10.8,223,SW,1020.0,30.12,0.0,0.0,0.0,94,100,9.1,48.4,9.1,48.4,10.7,51.3,9.6,49.3,0,0,0,0,10.0,6.0,8.8,14.2,2.2
2025-02-14,1739559600,2025-02-14 11:00,11.2,52.2,1,"{'text': 'Mist', 'icon': '//cdn.weatherapi.com/weather/64x64/day/143.png', 'code': 1030}",8.7,14.0,237,WSW,1020.0,30.13,0.0,0.0,0.0,97,100,9.6,49.3,9.6,49.3,11.2,52.2,10.3,50.5,0,0,0,0,10.0,6.0,11.8,19.0,2.6
2025-02-14,1739563200,2025-02-14 12:00,11.7,53.1,1,"{'text': 'Overcast ', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",9.4,15.1,244,WSW,1019.0,30.1,0.0,0.0,0.0,81,100,10.1,50.2,10.1,50.2,11.7,53.1,8.6,47.4,0,0,0,0,10.0,6.0,10.9,17.6,2.5
