date,time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,snow_cm,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv
2025-02-14,1739520000,2025-02-14 00:00,11.2,52.2,0,"{'text': 'Overcast ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}",19.2,31.0,251,WSW,1007.0,29.75,0.0,0.0,0.0,97,100,8.2,46.7,8.2,46.7,11.2,52.2,10.5,50.9,0,0,0,0,10.0,6.0,28.4,45.7,0.0
2025-02-14,1739523600,2025-02-14 01:00,11.1,51.9,0,"{'text': 'Overcast ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}",19.0,30.6,252,WSW,1009.0,29.79,0.0,0.0,0.0,94,100,8.0,46.3,8.0,46.3,11.1,51.9,10.2,50.4,0,0,0,0,2.0,1.0,28.7,46.2,0.0
2025-02-14,1739527200,2025-02-14 02:00,11.0,51.8,0,"{'text': 'Moderate or heavy rain shower', 'icon': '//cdn.weatherapi.com/weather/64x64/night/356.png', 'code': 1243}",19.2,31.0,258,WSW,1010.0,29.82,2.77,0.11,0.0,94,100,7.9,46.2,7.9,46.2,11.0,51.8,10.0,50.0,1,100,0,0,10.0,6.0,28.3,45.6,0.0
2025-02-14,1739530800,2025-02-14 03:00,10.8,51.4,0,"{'text': 'Overcast ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}",17.0,27.4,270,W,1011.0,29.84,0.0,0.0,0.0,91,100,7.7,45.9,7.7,45.9,10.8,51.4,9.4,49.0,0,0,0,0,10.0,6.0,25.1,40.4,0.0
2025-02-14,1739534400,2025-02-14 04:00,10.6,51.1,0,"{'text': 'Overcast ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}",17.0,27.4,276,W,1011.0,29.86,0.0,0.0,0.0,91,100,7.6,45.7,7.6,45.7,10.6,51.1,9.3,48.7,0,0,0,0,10.0,6.0,25.0,40.2,0.0
2025-02-14,1739538000,2025-02-14 05:00,10.4,50.7,0,"{'text': 'Light rain shower', 'icon': '//cdn.weatherapi.com/weather/64x64/night/353.png', 'code': 1240}",16.6,26.6,273,W,1012.0,29.88,1.98,0.08,0.0,94,100,7.4,45.3,7.4,45.3,10.4,50.7,9.5,49.1,1,100,0,0,10.0,6.0,25.0,40.2,0.0
2025-02-14,1739541600,2025-02-14 06:00,9.9,49.9,0,"{'text': 'Overcast ', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}",16.1,25.9,282,WNW,1014.0,29.94,0.0,0.0,0.0,90,100,6.9,44.4,6.9,44.4,9.9,49.9,8.7,47.7,0,0,0,0,10.0,6.0,24.0,38.6,0.0
2025-02-14,1739545200,2025-02-14 07:00,10.6,51.1,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",12.8,20.5,283,WNW,1017.0,30.04,0.0,0.0,0.0,79,75,7.2,45.0,7.2,45.0,10.0,50.0,6.9,44.4,0,0,0,0,16.0,9.0,20.0,32.3,0.0
2025-02-14,1739548800,2025-02-14 08:00,9.6,49.3,1,"{'text': 'Light rain', 'icon': '//cdn.weatherapi.com/weather/64x64/day/296.png', 'code': 1183}",12.1,19.4,285,WNW,1016.0,29.99,1.74,0.07,0.0,91,100,6.8,44.2,6.8,44.2,9.6,49.3,8.7,47.6,1,100,0,0,10.0,6.0,18.2,29.2,0.3
2025-02-14,1739552400,2025-02-14 09:00,9.5,49.1,1,"{'text': 'Partly Cloudy ', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.4,18.4,280,W,1018.0,30.07,0.0,0.0,0.0,80,59,6.7,44.0,6.7,44.0,9.5,49.1,5.9,42.7,0,0,0,0,10.0,6.0,16.4,26.5,1.0
